Feature_ID,Taxon,Confidence
ASV_018,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.903
ASV_019,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.9412
ASV_020,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.9735
ASV_021,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae,0.9032
ASV_022,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae,0.9112
ASV_023,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae,0.9354
ASV_024,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.9379
ASV_025,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,0.9572
ASV_026,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.9089
ASV_027,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.987
ASV_028,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Phyllostictaceae,0.9934
ASV_029,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae,0.8848
ASV_030,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.958
ASV_031,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.9846
ASV_032,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.9399
ASV_033,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.9441
ASV_034,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae,0.9897
ASV_035,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.9767
ASV_036,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae,0.9364
ASV_037,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.9724
ASV_038,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.8669
ASV_039,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.9639
ASV_040,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.9429
ASV_041,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.8721
ASV_042,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.862
ASV_043,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.9191
ASV_044,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae,0.9661
ASV_045,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae,0.9593
ASV_046,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.9718
ASV_047,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.8754
ASV_048,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.9908
ASV_049,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.8937
ASV_050,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.8722
ASV_051,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae,0.9572
ASV_052,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.8983
ASV_053,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.966
ASV_054,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae,0.9088
ASV_055,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae,0.9511
ASV_056,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae,0.9656
ASV_057,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.878
ASV_058,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.8543
ASV_059,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae,0.8702
ASV_060,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae,0.9513
